arming;age;race;state
harmful;30;O;WA
dangerous;32;H;CO
dangerous;33;B;LA
harmful;52;W;MD
neutral;56;W;TN
dangerous;48;W;NV
harmful;39;A;CA
neutral;19;H;CA
dangerous;45;H;NV
dangerous;33;W;WV
neutral;51;B;NC
harmful;25;W;OH
dangerous;24;W;CA
dangerous;22;W;OH
neutral;32;W;TN
harmless;58;H;NM
dangerous;24;B;VA
neutral;26;H;CA
dangerous;30;B;CA
dangerous;31;H;TX
dangerous;34;H;CA
dangerous;48;B;GA
dangerous;21;W;PA
dangerous;39;W;FL
dangerous;25;B;CO
dangerous;30;W;CA
dangerous;56;W;VT
neutral;29;W;FL
dangerous;19;H;NM
unarmed;35;B;MI
neutral;36;W;LA
dangerous;24;B;MI
harmful;23;H;CA
dangerous;18;B;NC
harmful;31;W;CA
harmless;41;W;AZ
unarmed;55;B;IL
harmful;19;B;IL
dangerous;38;H;ID
neutral;36;W;MS
harmful;34;W;AZ
neutral;52;W;LA
harmless;28;W;VA
harmful;50;O;CA
harmful;55;H;CA
unarmed;23;B;NV
harmful;30;W;CA
harmful;37;W;MT
dangerous;54;W;TX
dangerous;37;W;SD
dangerous;30;B;NC
neutral;27;B;LA
dangerous;22;B;OK
neutral;29;W;WA
harmful;39;W;TN
dangerous;33;B;NC
dangerous;52;W;CA
harmless;28;H;CA
harmful;54;W;PA
harmless;38;W;IL
dangerous;32;H;NM
dangerous;34;W;KY
harmful;26;W;WI
dangerous;50;W;GA
harmful;37;W;WA
harmless;45;W;MD
neutral;56;W;CA
harmless;45;W;OH
dangerous;32;W;CO
unarmed;12;W;PA
harmful;49;N;AK
dangerous;58;W;VA
dangerous;29;W;TN
dangerous;60;W;WA
dangerous;40;W;IL
harmful;39;H;CA
dangerous;26;W;WV
dangerous;24;B;MI
harmless;34;H;CA
dangerous;27;W;TX
harmless;44;W;OR
unarmed;25;W;CA
neutral;55;W;WV
dangerous;19;B;FL
dangerous;52;B;MO
harmful;24;H;CA
dangerous;38;W;AL
dangerous;31;W;UT
unarmed;26;W;AZ
dangerous;33;W;AZ
harmless;28;W;FL
harmful;27;W;OR
dangerous;39;W;AZ
harmful;29;W;CA
dangerous;36;W;TX
harmful;55;W;NC
dangerous;28;W;GA
dangerous;40;B;LA
dangerous;33;W;AL
harmful;37;W;TX
dangerous;39;B;OK
harmless;43;W;AL
harmful;38;H;NV
dangerous;55;W;OR
dangerous;52;W;AR
dangerous;32;B;TN
dangerous;31;H;NM
harmful;27;W;SC
harmless;40;A;TN
neutral;31;B;MI
dangerous;30;W;TX
dangerous;26;H;GA
neutral;32;N;WA
dangerous;33;W;NE
dangerous;19;B;OR
dangerous;33;B;MA
dangerous;29;B;TX
neutral;41;W;AL
dangerous;29;B;IL
harmful;38;H;CO
dangerous;64;H;GA
dangerous;42;W;MO
dangerous;42;W;CA
harmful;37;B;PA
harmful;46;H;FL
